sample_id,genetic_run_name,datetime_collected,fork_length_mm,field_run_name
F1723_4_A_15,Spring,2022-12-21T11:26:00Z,39,NA
F1723_4_A_16,Spring,2022-12-22T14:41:59Z,36,NA
F1723_4_A_17,Spring,2022-12-22T14:45:00Z,39,NA
F1723_4_A_18,Fall,2022-12-22T14:50:00Z,36,NA
F1723_4_A_2,Spring,2022-12-15T10:28:59Z,37,Spring
F1723_4_A_3,Spring,2022-12-15T10:32:00Z,36,Spring
F1723_4_A_4,Spring,2022-12-15T10:34:00Z,36,Spring
F1723_4_A_5,Spring,2022-12-15T10:35:00Z,37,Spring
F1723_4_A_6,Spring,2022-12-15T10:37:00Z,38,Spring
F1723_4_A_7,Spring,2022-12-19T11:28:00Z,38,Spring
F1723_4_A_8,Spring,2022-12-19T11:30:00Z,40,Spring
F1723_4_A_9,Spring,2022-12-19T11:35:00Z,36,Fall
F1723_6_A_1,Spring,2023-01-17T12:03:00Z,35,Fall
F1723_6_A_10,Fall,2023-01-17T12:26:59Z,35,Fall
F1723_6_A_12,Fall,2023-01-17T12:31:00Z,34,Fall
F1723_6_A_13,Spring,2023-01-17T12:33:00Z,36,Fall
F1723_6_A_14,Fall,2023-01-17T12:36:00Z,39,Fall
F1723_6_A_15,Fall,2023-01-17T12:38:00Z,34,Fall
F1723_6_A_16,Spring,2023-01-17T12:40:00Z,37,Fall
F1723_6_A_17,Spring,2023-01-17T12:42:00Z,46,Spring
F1723_6_A_18,Fall,2023-01-17T12:43:00Z,35,Fall
F1723_6_A_19,Fall,2023-01-17T12:47:00Z,39,Fall
F1723_6_A_2,Fall,2023-01-17T12:05:00Z,35,Fall
F1723_6_A_20,Fall,2023-01-18T11:09:59Z,39,Fall
F1723_6_A_21,Spring,2023-01-18T11:11:00Z,45,Spring
F1723_6_A_22,Spring,2023-01-18T11:13:00Z,36,Fall
F1723_6_A_23,Spring,2023-01-18T11:17:00Z,49,Spring
F1723_6_A_24,Spring,2023-01-18T11:21:00Z,41,Fall
F1723_6_A_25,Fall,2023-01-18T11:25:00Z,45,Spring
F1723_6_A_3,Spring,2023-01-17T12:07:00Z,46,Spring
F1723_6_A_4,Fall,2023-01-17T12:12:00Z,35,Fall
F1723_6_A_5,Fall,2023-01-17T12:13:00Z,34,Fall
F1723_6_A_6,Fall,2023-01-17T12:14:59Z,33,Fall
F1723_6_A_7,Fall,2023-01-17T12:18:00Z,34,Fall
F1723_6_A_9,Fall,2023-01-17T12:21:59Z,38,Fall
F1723_6_B_1,Spring,2023-01-17T12:50:00Z,55,Spring
F1723_6_B_2,Spring,2023-01-18T10:59:59Z,63,Winter
F1723_6_B_3,Spring,2023-01-18T11:07:00Z,53,Spring
F1723_6_B_4,Spring,2023-01-18T11:08:00Z,52,Spring
F1723_6_B_5,Spring,2023-01-18T11:15:00Z,58,Spring
F1723_7_A_1,Fall,2023-02-06T11:09:59Z,35,Fall
F1723_7_A_10,Fall,2023-02-06T11:29:00Z,34,Fall
F1723_7_A_11,Fall,2023-02-06T11:30:00Z,33,Fall
F1723_7_A_12,Fall,2023-02-06T11:32:00Z,35,Fall
F1723_7_A_13,Fall,2023-02-06T11:34:00Z,35,Fall
F1723_7_A_14,Fall,2023-02-06T11:30:00Z,38,Fall
F1723_7_A_15,Spring,2023-02-07T10:59:59Z,45,Fall
F1723_7_A_16,Fall,2023-02-07T11:03:00Z,36,Fall
F1723_7_A_17,Fall,2023-02-07T11:05:00Z,36,Fall
F1723_7_A_18,Fall,2023-02-07T11:08:00Z,35,Fall
F1723_7_A_19,Fall,2023-02-07T11:11:59Z,37,Fall
F1723_7_A_2,Fall,2023-02-06T11:09:59Z,36,Fall
F1723_7_A_20,Fall,2023-02-07T11:15:00Z,34,Fall
F1723_7_A_21,Fall,2023-02-09T11:15:00Z,38,Fall
F1723_7_A_22,Fall,2023-02-09T11:19:00Z,36,Fall
F1723_7_A_23,Fall,2023-02-09T11:22:00Z,39,Fall
F1723_7_A_3,Fall,2023-02-06T11:15:00Z,37,Fall
